,Title
0,"Reincarnated as a Poor Little Green Tea, Am I Destined to Be Bullied?"
1,From the Tip of the Tongue of the Lowliest Maid
2,The Runaway Maid is Loved by the Archmage
3,"I Will Die for You, My Darling!"
4,Guidelines for the Perfect Goodbye
5,Did the Movie Emperor Blow His Cover Today?
6,Reborn in 2000: Starting from Pursuing the Pure High School Beauty Desk Mate
7,What Became of the Tyrant After the Pregnant Empress Left
8,Become the Sickly Villain in the Novel
9,"Madam, You Wouldn’t Want Your Identity as a Witch to Be Exposed, Would You"
10,The Pious Priest’s Sinful Collection
11,My Dead Boyfriend is Back
12,Plane Supermarket
13,The Villainess Lives Only For Today
14,Exclusive Little Sweetheart of the Aristocratic School Prince
15,"Villain: After Hearing My Inner Thoughts, the Heroines Keep Flirting With Me"
16,Lord: Turning a World of Suffering into Butter
17,Troller
18,The Heroine Stole My Regression
19,"The Story of How I, Having Been Rejected by Beautiful Girls for Three Years, Returned to a Normal, Decent Life"
20,I Have No Right to Hold Your Hand
21,So? Did Someone Force You to Become the Heavenly Demon?
22,Fall In Love With the Substitute
23,There’s Always a Fairy Scheming Against Me
24,A Silver Dragon Queen Turned Me Into a Young Dragon Princess
25,The Yandere Beauty… Is Actually Me?
26,To be a Childhood Sweetheart that You will Regret for Life
27,An Unexpected Proposal
28,Is It Funny That The Dragon Slayer Failed And Became The Dragon Princess?
29,"Sakuraile Strange Girl ~ I Thought I Was an Orphan in the Slums After Being Reincarnated, but I Was a Duke’s Daughter and a Villain. I’ll Survive by Being Summoned to the Store~"
30,Genre Misunderstanding: An Extra’s Survival Story
31,"Transmigrated as the Villain, I Let the Dragon King’s Sister Share My Bed"
32,Farming for Three Meals a Day [Farming Life]
33,"Livestream: Awakening as Kaitō Kid, Shocking the World"
34,Kaitou Kid is Superhero
35,Divine Mage
36,The Omega Prince Wants to Live
37,"Heaven’s Chosen, Arrogant and Wild"
38,"Draining Family Fortune, the Capitalist’s Daughter Goes to the Military to Find Her Husband"
39,"After Death, I Became My Childhood Friend’s Cat"
40,The Vicious Female Character at the End of Days
41,I Use Illusions to Control the Whole World
42,"After My Heart Turned Cold and I Divorced My Wife, I Rose as the Strongest Prince of Great Feng Empire"
43,Transmigration: The Peerless Immortal Husband
44,The Pregnant Omega Transmigrates into a Normal Society
45,The Overbearing CEO Is Driven Mad by His Frail Canary
46,"President Feng, Mrs. Feng Has Wanted to Divorce You for a Long Time"
47,"Spendthrift Tycoon Rebate System, Starting from Donating to Streamers"
48,Unchanged Love
49,Mint Candy Love
50,"Female Prison Warden? Unscrupulous Author, Stop Messing With Me!"
51,A Letter from Keanu Reeves
52,Sect Recruitment: I Can See Attribute Tags
53,Return of a Crazy Genius Composer
54,Awakened the Worst Talent? My Clones Can Simulate Everything!
55,I Became the Inner Demon of a Female Devil
56,"In the World of Martial Arts Cultivation, I Can 50-50 Compete with Anyone"
57,Surviving the Doomsday Apartment—With Infinite Clones!
58,Mythical Version of Three Kingdom
59,The Peerless Emperor
60,Is It Reasonable for Me to Start a Sect at 12?
61,Fantasy Family Simulator
62,"Son, Put Your Father To The Test"
63,"When I Achieved Sainthood, the Immortal Official Actually Called Me to Raise Horses!"
64,Passing
65,I Hijacked the Timeline
66,I am a Late Bloomer in the Immortal World
67,Transmigrated into a Poor Farmer’s Daughter
68,It Begins with Isaac
69,Honey Trap!
70,My New Family Treats Me So Well
71,Apocalypse Shelter Administrator
72,Your Girlfriend Was Amazing
73,The Adventurer Became an Academy Instructor 25 Years After Reincarnating
74,I Teleported Into the Academy of a S*xy Game
75,The World That Tao Rules
76,An Investor Who Sees The Future
77,Murim Login
78,Cannon Fodder in the Interstellar
79,"Crossing the Timeline: Is It Reasonable for Me, the God of Wealth, To Be Short on Money?"
80,"Now That I Have Become a Woman, I Am a Vtuber"
81,Complete Confinement
82,Confessions Should Be Made Carefully
83,Don’t Be Kind to Me
84,I Think You’ve Come to the Wrong Place
85,"I Thought I’d Live Comfortably, But…"
86,"Tell Me To Regret, Don’t Tempt Me"
87,The Goal Is Alimony
88,The Secret Romance of the Engaged Couple
89,Things You Realize Only After They Are Gone
90,Investiture of the Star Generals
91,Everlasting Life Begins with Teaching My Niece a Lesson in the Joyous Union Sect
92,Exile? National Destruction? She Emptied the National Treasury and Rebelled With Her Children
93,I Became Famous after Being Forced to Debut in a Supernatural Journey
94,The Reincarnated Archmage Regains His Memories
95,Time Loop: Caught by the Six
96,Attacked by the Female Demon at the Beginning
97,Sword Immortal: Marrying a Demonic Empress
98,"The Entire Villainous Clan Is Crazy, Except My Junior Sister Who’s a Goofball"
99,Ice Age Apocalypse: I Hoard Billions of Supplies
100,"After Breaking Off the Engagement, I Started Pursuing My Master"
101,When I Opened My Eyes I Was a Superstar
102,I Loved a Serial Killer
103,Within The Sound of Swallows
104,The Game with Fairies
105,TS Original Protagonist Wants to be the Perfect Cheat Original Protagonist
106,The Sickly White Moonlight Really Had Enough of Fishing
107,The Strongest Brain in the Interstellar
108,A V**gin Boy Entered in National Competition to See “Real B**bs”!
109,"The Whole Family Are Villains, I’m the Group Pet"
110,Five Immortal Sects
111,The Reincarnated Young Girl Is Adored by the Spirits She Helped in Her Previous Life
112,I Became the Strongest in Another World in the Tutorial During My Lifetime.
113,A Horror Novel’s Supporting Character Wants to Live as a Human
114,Eighteen’s Bed
115,Ultraman Suit Another Universe – Episode: ZERO
116,"You Think an Unorthodox Dark Healer Can’t Make Money? ‘Then I’ll Just Defect.’ So, I Defected. I Worked in the Demon Kingdom. I Earned Money. I Got Promoted. I Built a House. I Got a Wife. The Human Nations Declined"
117,The Regressor Hunter Academy
