Title,Chapters,Update Frequency,Readers,Reviews,Last Updated,Genres,Description,Source
Don’t Call Me Your Wife (GL),95,0,152,1,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Shoujo Ai', 'Xuanhuan', 'Yuri']",A fiery and sharp character x a gentle and cunning partner.,https://www.novelupdates.com/series/dont-call-me-your-wife-gl/
I Became a Rare Species in the Immortal Cultivation World,28,0,76,1,2025-06-15,"['Action', 'Adventure', 'Martial Arts', 'Romance', 'Xianxia', 'Xuanhuan']","The Heavenly Dao bestowed blessings from the Immortal Realm upon females, making them inherently noble and superior to men from the moment they were born. Among countless women, celestial maidens occasionally descended to aid their Followers in awakening spiritual roots and pursuing the Great Dao of immortality. Thus, all sect masters across the Immortal Blessing Continent were revered celestial maidens - including leaders of the top three sects and six factions among immortal sects.",https://www.novelupdates.com/series/i-became-a-rare-species-in-the-immortal-cultivation-world/
I Come From the Abyss to Save Humanity Today,86,3,648,4,2025-06-15,"['Action', 'Drama', 'Fantasy', 'Gender Bender', 'Mystery', 'Tragedy']","The Abyss—represents pure annihilation, they possess incomparably powerful strength, following their instincts to devour all life in the world.",https://www.novelupdates.com/series/i-come-from-the-abyss-to-save-humanity-today/
How to Survive as the Horror Game Villain’s Fake Fiancée,7,4,156,0,2025-06-15,"['Fantasy', 'Romance', 'Smut']",“I’ll ask again. Who are you?”,https://www.novelupdates.com/series/how-to-survive-as-the-horror-game-villains-fake-fiancee/
After Becoming the Aunt of the Dragon Hero,178,0,575,0,2025-06-15,"['Action', 'Comedy', 'Fantasy', 'Martial Arts', 'Romance', 'Xianxia', 'Xuanhuan', 'Yuri']","Ming He always believed she had entered a world of cultivation, only to discover she had stepped into the script of the unstoppable Dragon Hero (Long Aotian, 龙傲天, a Chinese term that is often used in the context of web novels, particularly in the fantasy and martial arts genres, to describe a character who is exceptionally powerful, confident, and often has a strong sense of superiority).",https://www.novelupdates.com/series/after-becoming-the-aunt-of-the-dragon-hero/
The Search for Immortality,312,0,90,0,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Xianxia']","In a place where death is certain, the chance to meet a celestial being arises, but the path to immortality is even more dangerous!",https://www.novelupdates.com/series/the-search-for-immortality/
Daily Life at the Teahouse in an Ancient World,10,3,76,0,2025-06-15,"['Historical', 'Romance', 'Slice of Life']","In a world torn by chaos, a modern-day food blogger unexpectedly finds herself transported into the past. By a twist of fate, she ends up in a remote mountain village, only to become the fiancée of a penniless barbarian named Shen Qing.",https://www.novelupdates.com/series/daily-life-at-the-teahouse-in-an-ancient-world/
Di Daughter’s Strategy,17,2,142,2,2025-06-15,"['Adult', 'Drama', 'Historical', 'Josei', 'Romance', 'Slice of Life']",Luo Yi'er became the vicious female supporting character known for her gentle and refined reputation in the book one day after crossing over.,https://www.novelupdates.com/series/di-daughters-strategy/
"Push Me Away When I Come, Don’t Hold Me Back When I Leave",64,3,304,1,2025-06-15,"['Drama', 'Harem', 'Romance', 'School Life', 'Yuri']","“I don’t like anything about you… sorry.” Three merciless rejections made the young girl feel like the sky was falling and the earth was cracking, and from then on, life lost its brilliance.",https://www.novelupdates.com/series/push-me-away-when-i-come-dont-hold-me-back-when-i-leave/
The Talisman Dominion Over Heaven and Earth,31,0,24,0,2025-06-15,"['Action', 'Fantasy', 'Martial Arts', 'Xianxia', 'Xuanhuan']","Jade talismans manifest divine will, shattering all laws across the realms. Commanding awe through eternity, Li Hui - the forsaken disciple of Jade Talisman Sect",https://www.novelupdates.com/series/the-talisman-dominion-over-heaven-and-earth/
Live Streaming the Matriarchal Society Thirty Thousand Years Later,72,0,75,0,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Xuanhuan']","""Distance to the starting point: -32,083 years, belonging to the time of the primitive matriarchal tribe.""",https://www.novelupdates.com/series/live-streaming-the-matriarchal-society-thirty-thousand-years-later/
"Transmigrated as the Villainess Fake Young Lady, Please Spare Me, Female Lead Sister",54,3,494,0,2025-06-15,"['Comedy', 'Drama', 'Fantasy', 'Gender Bender', 'Romance', 'Yuri']","Transmigrated into the game as the villainess fake daughter Claire of the Grendel family, but super timid.",https://www.novelupdates.com/series/transmigrated-as-the-villainess-fake-young-lady-please-spare-me-female-lead-sister/
How to Raise a Baby in an Apocalypse,247,4,643,4,2025-06-15,"['Comedy', 'Drama', 'Mature', 'Romance']","As the apocalypse arrived, An Ran, a mother with no incredible powers, no space, and no husband, had only a bun in the oven that piteously cried for food and a wood based power over plants and flowers.",https://www.novelupdates.com/series/how-to-raise-a-baby-in-an-apocalypse/
Great Tang Idyll,667,1,5474,33,2025-06-15,"['Adventure', 'Comedy', 'Historical', 'Romance', 'Slice of Life', 'Supernatural']","A con-man and policewoman that are legends of their respective professions suddenly die, then are reincarnated and return to the Tang Dynasty of ancient China as little kids.",https://www.novelupdates.com/series/great-tang-idyll/
Guidelines for the Perfect Goodbye,236,2,881,6,2025-06-15,"['Drama', 'Fantasy', 'Romance']",My husband has died.,https://www.novelupdates.com/series/guidelines-for-the-perfect-goodbye/
Becoming a Big Shot in the Celestial Realm,184,0,241,0,2025-06-15,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Xianxia']",Wang Chen unexpectedly traveled to the world of cultivation.,https://www.novelupdates.com/series/becoming-a-big-shot-in-the-celestial-realm/
Reborn in 2000: Starting from Pursuing the Pure High School Beauty Desk Mate,334,0,392,4,2025-06-15,"['Drama', 'Fantasy', 'Harem', 'Romance', 'School Life', 'Slice of Life']","Chen Fan, a terminally ill patient, is reborn in the year 2000 and reunites with his high school desk mate and first love, Su Ruochu, the school’s beauty.",https://www.novelupdates.com/series/reborn-in-2000-starting-from-pursuing-the-pure-high-school-beauty-desk-mate/
"Transmigrated into a Master, but Held a Group Meeting",76,2,550,3,2025-06-15,"['Adventure', 'Comedy', 'Fantasy', 'Shounen Ai', 'Xianxia']","Ning Mingmei finds himself transmigrated into a dark-themed cultivation novel, taking on the role of the unfortunate ‘cold and aloof master’ destined to be killed by his disciple, the male protagonist, who will use his death as a stepping stone to achieve immortality.",https://www.novelupdates.com/series/transmigrated-into-a-master-but-held-a-group-meeting/
The Sword of Arad,54,0,38,0,2025-06-15,"['Action', 'Fantasy', 'Martial Arts', 'Xuanhuan']","In 1004 Arad Calendar, Demon Swordman Midi Asreks perished during his gamble. Yet before his heart ceased beating, the demon god within his left arm awakened mysterious power.",https://www.novelupdates.com/series/the-sword-of-arad/
The Great Merchant in the Cataclysm,358,0,2453,12,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Sci-fi', 'Supernatural']","In the tenth year after the new era, the world finally came to an end. Zhang Mu truefully waited for his death, but unexpectedly found",https://www.novelupdates.com/series/the-great-merchant-in-the-cataclysm/
All People Want My Created Cultivation Skills,221,0,243,1,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Mystery', 'Supernatural', 'Xuanhuan']","In an era where human advancement stagnates, mankind faces devastating defeat in a galaxy-wide struggle against countless alien races. Amid internal chaos and external threats, a shocking discovery emerges through a broadcast program—a peerless genius named Jiang Que, exiled on a forsaken planet.",https://www.novelupdates.com/series/all-people-want-my-created-cultivation-skills/
From Trilobite to Titan,30,0,23,0,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Supernatural', 'Xuanhuan']","""Identifying Popular and Obscure Creatures in a Divine Otherworld""—Trilobite crossed over into a trilobite, trembling in a world he believed was full of storms and chaos.",https://www.novelupdates.com/series/from-trilobite-to-titan/
No Entry Except for the Master,13,2,132,0,2025-06-15,"['Adult', 'Romance', 'Smut']","The rabbit in front of him asked innocently, completely unaware of anything.",https://www.novelupdates.com/series/no-entry-except-for-the-master/
My Master Breaks Through Only at the Last Moment,241,0,122,2,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Xianxia']","""Master, it's my fault for not helping you break through before the deadline,"" the disciple said, his voice filled with sorrow.",https://www.novelupdates.com/series/my-master-breaks-through-only-at-the-last-moment/
Enhancing Offspring: My Descendants Spread Across the Cultivation World,162,0,307,2,2025-06-15,"['Action', 'Adult', 'Fantasy', 'Harem', 'Martial Arts', 'Romance', 'Xianxia']",Detecting the mother body......,https://www.novelupdates.com/series/enhancing-offspring-my-descendants-spread-across-the-cultivation-world/
My Card Girl Infinite Evolution,132,1,378,1,2025-06-15,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Mecha', 'Romance', 'Xuanhuan']","BBd reporter: ""I heard that most of your cards are beautiful young girls. May I ask, was it for 'achievement' or did you have other intentions?""",https://www.novelupdates.com/series/my-card-girl-infinite-evolution/
Traveling Through the Book and Becoming a Cub Among the Villains,22,3,530,2,2025-06-15,"['Comedy', 'Drama', 'Fantasy', 'Shounen Ai']","The genius and beautiful young man, Ye Qingxi, died unexpectedly on the day he reached the age of 18.",https://www.novelupdates.com/series/traveling-through-the-book-and-becoming-a-cub-among-the-villains/
The Demonic Sect Is As Deranged As Ever,26,2,153,0,2025-06-15,"['Martial Arts', 'Romance', 'Shounen Ai', 'Xianxia', 'Yaoi']",The Demonic Sect Leader Wants to Move out,https://www.novelupdates.com/series/the-demonic-sect-is-as-deranged-as-ever/
World of Xianxia,225,0,708,0,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Martial Arts', 'Xianxia']","The moment we stepped on the road of cultivation, there will be thousands of immortals upfront, but you are just like an ant wandering in",https://www.novelupdates.com/series/world-of-xianxia/
Nine Extremes War God,92,0,48,0,2025-06-15,"['Action', 'Fantasy', 'Martial Arts', 'Shounen', 'Xianxia']",The legend of the Innate Dao Body has always been told in the Lingtian Continent.,https://www.novelupdates.com/series/nine-extremes-war-god/
The Pious Priest’s Sinful Collection,40,1,268,0,2025-06-15,"['Adult', 'Fantasy', 'Mature', 'Romance', 'Smut']","“What is the meaning of this, Sister Daphne?”",https://www.novelupdates.com/series/the-pious-priests-sinful-collection/
I Bring the Game into Reality!,436,0,407,1,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Supernatural']","On that day, the groundbreaking holographic game ""The Sealed Land"" emerged, directly causing a gaming craze worldwide, with an average of over three billion players online at one point!",https://www.novelupdates.com/series/i-bring-the-game-into-reality/
Dragon Rider Warplane,162,0,72,0,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Martial Arts', 'Xuanhuan']","The most beautiful, thrilling, exciting, and passionate modern air battle novel in China, uniquely exceptional!",https://www.novelupdates.com/series/dragon-rider-warplane/
Regressed Extras Become Geniuses,223,1,771,4,2025-06-15,"['Action', 'Adventure', 'Fantasy']","The story delves into the life of Kim Seon-woo, who got pulled into a famous novel and decided to live a quiet life as a side character.",https://www.novelupdates.com/series/regressed-extras-become-geniuses/
The World That Tao Rules,739,0,435,4,2025-06-15,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Xianxia']","A mysterious youth who came from a mysterious village, didn’t have the Heart of Tao. Nor did he have the Tao Spirituality nor an unblocked Tao Physique.",https://www.novelupdates.com/series/the-world-that-tao-rules/
My Dead Boyfriend is Back,30,2,115,0,2025-06-15,"['Romance', 'Shounen Ai', 'Supernatural', 'Yaoi']",Qin Yan became sick after his boyfriend’s death.,https://www.novelupdates.com/series/my-dead-boyfriend-is-back/
Miss Interrogator Just Wants to Slack Off,301,0,901,3,2025-06-15,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Harem', 'Mystery', 'Romance', 'Shoujo Ai', 'Slice of Life', 'Xuanhuan', 'Yuri']","Traveling to become the Succubus Interrogator of the Demon Army, lazy Lolth just wants to hang out in her interrogation room, and research food, but the demon king keeps sending her big shots like the Elf Princess, the human empress, Lady of Light and her knights, and the Great Sage for her to interrogate...",https://www.novelupdates.com/series/miss-interrogator-just-wants-to-slack-off/
Water Magician,604,2,5110,33,2025-06-15,"['Action', 'Adventure', 'Comedy', 'Fantasy']","This is the story of Ryo, who was reincarnated in the world of swords and magic.",https://www.novelupdates.com/series/water-magician/
Deeply In Love With You [Quick Transmigration],5,11,180,0,2025-06-15,"['Drama', 'Fantasy', 'Romance', 'Sci-fi', 'Shounen Ai', 'Supernatural']","Zong Que was born emotionally detached. After being chosen by the system, he only wanted to complete his missions diligently — until he met someone as warm and radiant as the sun.",https://www.novelupdates.com/series/deeply-in-love-with-you-quick-transmigration/
I Am Unaware That I Am the Peerless Martial God,969,0,824,3,2025-06-15,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Xianxia']","Ye Feng was transported to a cultivation world, but unfortunately had no hope of cultivating immortality and could only live as an ordinary mortal. He only wished to live a peaceful life.",https://www.novelupdates.com/series/i-am-unaware-that-i-am-the-peerless-martial-god/
The Picked-Up Little Tentacle Begs Me to Take Responsibility,17,2,150,1,2025-06-15,"['Comedy', 'Fantasy', 'Slice of Life', 'Supernatural', 'Yaoi']","The war ended, the SSS-class pollutant was sealed, and Shi Xu became famous in one battle. His prominent family background, gentle and refined demeanor, and status as the peak of human combat power, combined with various other advantages, made Shi Xu the dream lover of many.",https://www.novelupdates.com/series/the-picked-up-little-tentacle-begs-me-to-take-responsibility/
